X,Y,OBJECTID,FOLIO,NAME,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,FAX,CHIEF,JURISDTN,TYPE,LAT,LON,POINT_X,POINT_Y
-80.164915439401412,25.690792615736729,11,2442320010061,Key Biscayne Municipal Police Station,88 West McIntyre Street, ,Key Biscayne,33149,305-365-5555,305-365-8937 ,Charles R. Press,M, ,25.69079,-80.16492,931171.431950744,494176.94803974
-80.313360771680976,25.844572783326427,12,2230110021251,Medley Municipal Police Station,7777 NW 72nd Ave, ,Medley,33166,305-883-2047, ,Jeanette Said-Jinete,M, ,25.84457,-80.31336,881993.69106758,549788.464769237
-80.198568192152109,25.778338489086252,13,0101070501090,Miami (Headquarters) Municipal Police Station,400 NW 2nd Ave, ,Miami,33128,305-579-6540, ,Rodolfo Llanes,M,Headquarters,25.77833,-80.19857,919895.425959494,525928.14372357
-80.213260852784529,25.831869909331175,14,0131140120880,Miami (Model City NET Service Area),1000 NW 62nd St, ,Miami,33150,305-795-2300, ,Miguel Exposito,M,NET,25.83187,-80.21327,914944.000822995,545355.910642236
-80.198310076526568,25.778126157662683,15,0101070501090,Miami (Overtown NET Service Area) ,400 NW 2nd Ave, ,Miami,33128,305-603-6640, ,Major Ervens Ford,M,NET,25.77812,-80.19832,919980.837534077,525851.485412322
-80.133201432493507,25.782255842963906,16,0242030090370,Miami Beach Municipal Police Station,1100 Washington Ave, ,Miami Beach,33139,305-673-7925,305-676-7065,Daniel J. Oates,M, ,25.78225,-80.1332,941397.337023828,527488.187519491
-80.123861187648785,25.85364108449668,17,0232110010760,Miami Beach Municipal Police Station (North Dist),6840 Indian Creek Dr, ,Miami Beach,33140,305-993-2060, ,Raymond A. Martinez,M,Substation,25.85364,-80.12386,944298.188833661,553455.12410257
-80.284670490426166,25.821411376839144,18,0530240061390,Miami Springs Municipal Police Station,201 Westward Dr, ,Miami Springs,33166,305-805-5100, ,Armando Guzman,M, ,25.82141,-80.28468,891475.624859579,541420.438198239
-80.149979626381125,25.84810084839912,19,2332090511420,North Bay Village Municipal Police Station,1700 Kennedy Cswy,132,North Bay Village,33141,305-758-2626,305-866-7508,Carlos Noriega,M, ,25.8481,-80.14998,935721.401197247,551384.968465991
-80.161781034118775,25.9314305573347,20,0722090062960,North Miami Beach Municipal Police Station,16901 NE 19th Ave, ,North Miami Beach,33162,305-948-2995, ,William Hernandez,M, ,25.93143,-80.16178,931646.500554413,581648.23241441
-80.241896107736579,25.906459647871745,21,0821220020460,Opa-Locka Municipal Police Station,2495 Ali Baba Ave, ,Opa-Locka,33054,305-681-1033,305-953-2833,James Dobson,M, ,25.90645,-80.24189,905368.341168579,572411.615717076
-80.232725484580428,25.897927088601463,22,0821220000240,Opa-Locka Municipal Police (Mini-Station),2040 Opa-Locka Blvd, ,Opa-Locka,33054,305-681-1033,305-953-2833,Cheryl Cason,M,Mini-station,25.89792,-80.23272,908401.124801163,569327.81250149
-80.292077994665746,25.703381261206093,23,0940360000030,South Miami Municipal Police Station,6130 Sunset Dr, ,South Miami,33143,305-663-6301,305-663-6353,Rene Landa,M, ,25.70338,-80.29208,889269.235571578,498507.917396158
-80.122780186476888,25.881346027488476,24,1422350060490,Surfside Municipal Police Station,9293 Harding Ave, ,Surfside,33154,305-861-4863, ,David Allen ,M, ,25.88134,-80.12279,944586.437272914,563527.561306737
-80.373089412663944,25.763890301600131,25,2540060010056,Sweetwater Municipal Police Station,500 SW 109th Ave, ,Sweetwater,33174,305-552-9900,305-552-8053,Placido Diaz,M, ,25.76389,-80.3731,862488.937426247,520365.501305573
-80.302780615487222,25.809486671092699,26,2630250010300,Virginia Gardens Municipal Police Station,6498 NW 38th Ter, ,Virginia Gardens,33166,305-871-3141, ,James P. Chohonis,M, ,25.80948,-80.30278,885541.07275233,537054.259922743
-80.29537461143417,25.762304216053934,27,1540120000170,West Miami Municipal Police Station,901 SW 62nd Ave, ,West Miami,33144,305-266-0530,305-266-0970,Nelson Andreu,M, ,25.7623,-80.29538,888069.347879495,519918.211189657
-80.304096234153434,25.890021796156677,28,0420250010470,Hialeah (Substation 4),7400 W 10th Ave, ,Hialeah,33014,305-816-4461,305-816-4458,Sergio Velasquez,M,Substation,25.89002,-80.30409,884953.220909663,566323.641016409
-80.24317719516327,25.791155680186947,29,0131330060900,Miami (Grapeland Heights Substation),1701 NW 30th Ave,  ,Miami,33125,305-603-6500, ,Miguel Exposito,M,Substation,25.79115,-80.24318,905188.58660683,530499.918044575
-80.298529219827515,25.846423318570551,30,0430120140020,Hialeah (Substation 3),2700 W 8th Ave, ,Hialeah,33012,305-883-5305, ,Sergio Velasquez,M,Substation,25.84642,-80.29853,886868.142276663,550486.829514243
-80.1982131959181,25.778052036362539,31,0101070501090,Miami (Wynwood/Edgewater NET Service Area),400 NW 2nd Ave, ,Miami,33128,305-603-6640, ,Major Jose Perez,M,NET,25.77805,-80.19821,920012.883401744,525824.738746658
-80.212886977556522,25.831769658479594,32,0131140120880,Miami (Upper East Side NET Service Area),1000 NW 62nd St, ,Miami,33150,305-603-6640, ,Miguel Exposito,M,NET,25.83176,-80.21288,915067.199723579,545320.20861391
-80.198081449896861,25.777990738829345,33,0101070501090,Miami (Downtown NET Service Area),400 NW 2nd Ave, ,Miami,33128,305-603-6640, ,Miguel Exposito,M,NET,25.77799,-80.19808,920056.374784578,525802.723042659
-80.183853587473905,25.889185299611434,34,0622300190010,North Miami Municipal Police Station,700 NE 124th St, ,North Miami,33161,305-891-0294, ,Gary Eugene,M, ,25.88918,-80.18386,924487.674648996,566247.380998321
-80.482875947914053,25.448588919234624,35,1678240071890,Florida City Municipal Police Station,404 W Palm Dr, ,Florida City,33034,305-247-8223,305-245-5001,Pedro W. Taylor,M,Headquarters,25.44858,-80.48288,826803.635765497,405613.948656909
-80.343861514864415,25.798371809494366,36,3530280110010,Mid West Municipal Police Station (Doral),9101 NW 25th St, ,Doral,33172,305-471-2800,305-471-2835,James Loftus,C,District Stn,25.79837,-80.34387,872045.906173162,532944.947931409
-80.139064820794573,25.952910463293925,37,2812350790010,Aventura Municipal Police Station,19200 W Country Club Dr, ,Aventura,33180,305-466-8966,305-466-8919 ,Steve Steinberg,M,Headquarters,25.95291,-80.13906,939061.155016411,589504.121558242
-80.193814763114361,25.866819588464786,38,1132060132080,Miami Shores Municipal Police Station,9990 NE 2nd Ave, ,Miami Shores,33138,305-759-2468,305-756-8972,Kevin Lystad,M, ,25.86681,-80.19381,921262.584314413,558097.82971216
-80.198386038965296,25.77819840626946,39,0101070501090,Miami (Flagami NET Service Area),400 NW 2nd Ave, ,Miami,33128,305-603-6640, ,Major Jose Perez,M,NET,25.77819,-80.19838,919955.679775994,525877.59297166
-80.121379182942931,25.957336307519704,40,1912350041270,Golden  Beach Municipal Police Station,1 Golden Beach Drive, ,Golden Beach,33160,305-936-2444,305-932-2045,Rudy Herbello,M,Headquarters,25.95733,-80.12138,944861.937378079,591151.438145489
-80.349299687422388,25.60416362007151,41,3350320043120,Palmetto Bay Municipal Police Station,9705 E Hibiscus St, ,Palmetto Bay,33157,305-278-4000,305-278-4019,"Gady Serralta, Major",M, ,25.60416,-80.3493,870604.293898914,462350.082559742
-80.285332992558295,25.820730813517322,42,0530240071560,Miami Springs Municipal Police (Substation),274 Westward Dr, ,Miami Springs,33166,305-888-5286, ,G. Baan,M,Substation,25.82073,-80.28533,891259.031460747,541171.893091656
-80.122372342354737,25.942671369297351,43,3122110050010,Sunny Isles Beach Municipal Police Station,18070 Collins Ave,2nd Floor,Sunny Isles Beach,33160,305-947-4440,(305) 949-3113,Fred Maas,M, ,25.94267,-80.12237,944571.323457997,585818.845136158
-80.358662174553544,25.829176375183263,44,3530170320010,Doral Municipal Police Station,6100 NW 99th Ave, ,Doral,33178,305-593-6699,786-871-1501,Donald W. De Lucca,M,Headquarters,25.82917,-80.35866,867121.589250162,544117.189366408
-80.231587486202073,25.772269247965855,45,0141030360030,Miami (Little Havana NET Service Area),2200 W Flagler St,   ,Miami,33135,305-643-7160,  ,Miguel Exposito,M,NET,25.77226,-80.23158,909042.189463913,523657.447149493
-80.273162582953063,25.826890167359515,46,0431170000060,Hialeah (Substation 1),501 E 4th Ave, ,Hialeah,33010,305-883-5981,305-883-6938,Sergio Velasquez,M,Substation,25.82689,-80.27316,895250.277743328,543432.539488994
-80.30741234346516,25.913099891630992,47,3220130010432,Miami Lakes Municipal Police Station,6601 Main St, ,Miami Lakes,33014,305-364-6100,305-827-4044,George A. Perez,C, ,25.9131,-80.30741,883818.688073747,574705.999907821
-80.338496814615183,25.868946366886878,48,2730030010410,Hialeah Gardens Municipal Police Station,10301 NW 87th Ave, ,Hialeah Gardens,33016,305-558-3333,305-819-5317,Manuel Zardon,M, ,25.86894,-80.33849,873681.955066413,558604.96911782
-80.198465217372714,25.778256548104604,49,0101070501090,Miami (Allapattah NET Service Area),400 NW 2nd Ave, ,Miami,33128,305-603-6640, ,Major Esther Farmer,M,NET,25.77825,-80.19846,919929.494460911,525898.567011073
-80.328637882525385,25.652973563459341,50,2050150350010,Pinecrest Municipal Police Station,12645 Pinecrest Parkway, ,Pinecrest,33157,305-234-2100 ,305-234-2132,"Samuel Ceballos, Jr",M, ,25.65297,-80.32864,877323.619042911,480124.135266155
-80.365715494636149,25.576276547091847,51,3660070240020,Cutler Bay Municipal Police Station,10720 Caribbean Blvd,105,Cutler Bay,33189,305-234-4237,305-234-5887  ,Julie Miller,M,Headquarters,25.57627,-80.36572,865242.830540497,452188.334838659
-80.797488514414525,25.760494836470901,52,3045200000010,Miccosukee Municipal Police Station Main,"Mile Marker 70, US Hwy 41",     ,Miami-Dade,33194,305-223-1600,    ,Tom Loughren,M, ,25.76049,-80.79749,722816.932650078,518691.994153909
-80.484600544376264,25.76293259549929,53,3048010000022,Miccosukee Municipal Police Substation,550 SW 177th Ave,    ,Miami-Dade,33194,305-223-1600,   ,Tom Loughren,M, ,25.76293,-80.4846,825790.401571497,519858.396020576
-80.231812568079647,25.772317719176122,54,0141030360030,Miami (South Station) Municipal Police Station,2200 W Flagler St, ,Miami,33135,305-643-7160,  ,Miguel Exposito,M, ,25.77231,-80.23181,908968.012774996,523674.63281066
-80.213415459133088,25.831922825038632,55,0131140120880,Miami (North Station)  ,1000 NW 62nd St,     ,Miami,33150,305-795-2300 ,  ,Miguel Exposito,M,Subdivision,25.83192,-80.21341,914893.030124411,545374.839410156
-80.23158502122493,25.772198895995103,56,0141030360030,Miami (South NET Service Area) Municipal Police,2200 W Flagler St, ,Miami,33135,305-643-7160,  ,Major Jose Perez,M,NET,25.77219,-80.23158,909043.150091913,523631.881583825
-80.213069329270979,25.831815701532552,57,0131140120880,Miami (Little Haiti NET Service Area),1000 NW 62nd St, ,Miami,33150,305-759-2337, ,Miguel Exposito,M,NET,25.83181,-80.21307,915007.117494661,545336.584893487
-80.126786430098903,25.887196733517815,58,1222260060040,Bal Harbour Municipal Police Station,655 96TH ST, ,Bay Harbor Islands,33154,305-866-5000,305-993-5163,Mark Nathan Overton,M,Headquarters,25.88719,-80.12678,943255.021628663,565645.368094742
-80.131104577770756,25.887426262838957,59,1322270012220,Bay Harbor Islands Municipal Police Station,9665 Bay Harbor Terr, ,Bay Harbor Islands,33154,305-866-6242,305-993-1783,Sean Hemingway,M,Headquarters,25.88742,-80.1311,941834.718694996,565719.372211821
