,10Year,5Year,City,County,Date,LastTimeAtCurrZHVI,Latitude,Longitude,Metro,MoM,PctFallFromPeak,PeakMonth,PeakQuarter,PeakZHVI,QoQ,RegionID,RegionName,SizeRank,State,YoY,Zhvi,Zip_Code,address,phone,principal,school,type,ABUSE,ASSAULT & BATTERY,BURGLARY,CRIMINAL GANG,DRUGS & ALCOHOL,FIRE,GAMBLING,HOMICIDE,KIDNAPPING,MISCELLANEOUS CRIMES,PROTEST,SEXUAL MISCONDUCT,TREASON,WHITE COLLAR,Grand Total
16,0.050267435,0.101085744,Tamiami,Miami-Dade County,4/30/2019,2006-05,25.734787,-80.406761,Miami-Fort Lauderdale-West Palm Beach,-0.004391985,-0.077803204,2007-02,2007-Q1,393300,-0.003845098,72477,33175,1409,FL,0.050086856,362700,33175, , , , ,r,,,,,,,,,,,,,,,
17,0.058621178,0.129610719,South Miami Heights,Miami-Dade County,4/30/2019,2006-08,25.596129,-80.404194,Miami-Fort Lauderdale-West Palm Beach,-0.002329451,-0.040025616,2007-05,2007-Q2,312300,0.007392473,72479,33177,1456,FL,0.060113154,299800,33177, , , , ,r,,,,,,,,,,,,,,,
18,0.040752594,0.038900924,Coral Gables,Miami-Dade County,4/30/2019,2006-03,25.753332,-80.270379,Miami-Fort Lauderdale-West Palm Beach,-0.014671486,-0.062322946,2006-10,2006-Q4,494200,-0.021330517,72437,33134,1463,FL,-0.004938802,463400,33134, , , , ,r,,,,,,,,,,,,,,,
19,0.041760574,0.083083925,The Hammocks,Miami-Dade County,4/30/2019,2006-07,25.652131,-80.490508,Miami-Fort Lauderdale-West Palm Beach,-0.003201397,-0.033305109,2007-04,2007-Q2,354300,0.001754899,72497,33196,1518,FL,0.060371517,342500,33196, , , , ,r,,,,,,,,,,,,,,,
20,0.034839175,0.094758884,Fountainbleau,Miami-Dade County,4/30/2019,2005-11,25.786909,-80.361253,Miami-Fort Lauderdale-West Palm Beach,0.000533333,-0.141025641,2007-05,2007-Q2,218400,0.008602151,72474,33172,1678,FL,0.057497182,187600,33172, , , , ,r,,,,,,,,,,,,,,,
21,0.051329821,0.110330111,Hialeah,Miami-Dade County,4/30/2019,2006-10,25.917734,-80.384416,Miami-Fort Lauderdale-West Palm Beach,-0.001236858,-0.02269289,2007-06,2007-Q2,330500,0.003729024,72356,33018,1682,FL,0.070954907,323000,33018, , , , ,r,,,,,,,,,,,,,,,
22,0.037859211,0.017708705,Miami,Miami-Dade County,4/30/2019,2006-08,25.766206,-80.182897,Miami-Fort Lauderdale-West Palm Beach,-0.005271084,-0.104609128,2007-06,2007-Q2,442600,-0.007264529,72434,33131,1797,FL,-0.019059406,396300,33131, , , , ,r,,,,,,,,,,,,1,,,1
23,0.036382987,0.139874185,Hialeah,Miami-Dade County,4/30/2019,2006-04,25.896066,-80.33314,Miami-Fort Lauderdale-West Palm Beach,0.004326663,-0.111483254,2007-09,2007-Q3,209000,0.010337323,72354,33016,1800,FL,0.079023823,185700,33016, , , , ,r,9,6,,15,,,,1,29,,3,2,,65,1
24,0.061957724,0.156472899,Princeton,Miami-Dade County,4/30/2019,2006-06,25.531517,-80.3908,Miami-Fort Lauderdale-West Palm Beach,-0.002335539,-0.070703408,2007-06,2007-Q2,275800,0.005098039,72370,33032,1808,FL,0.080067425,256300,33032, , , , ,r,1,20,4,,24,,,1,1,23,,5,1,2,82
25,0.048789313,0.057414143,Miami,Miami-Dade County,4/30/2019,2017-10,25.728662,-80.239996,Miami-Fort Lauderdale-West Palm Beach,-0.008675724,-0.014001954,2019-02,2019-Q1,614200,-0.012876936,72436,33133,1883,FL,-0.008188667,605600,33133, , , , ,r,,,,,,,,,,1,,,,,1
26,0.052599493,0.09324608,Miami,Miami-Dade County,4/30/2019,2006-04,25.736887,-80.310768,Miami-Fort Lauderdale-West Palm Beach,-0.008165348,-0.102102102,2007-07,2007-Q3,432900,-0.008924018,72458,33155,1890,FL,0.046862375,388700,33155, , , , ,r,,7,1,,1,,,,,2,,,,,11
27,0.052140874,0.106487443,Kendall West,Miami-Dade County,4/30/2019,2006-07,25.70077,-80.465111,Miami-Fort Lauderdale-West Palm Beach,-0.000348797,-0.028803795,2007-01,2007-Q1,295100,0.010578279,72494,33193,1923,FL,0.065031587,286600,33193, , , , ,r,,,,,,,,,,,,,,,
28,0.042292431,0.107566343,Hialeah,Miami-Dade County,4/30/2019,2006-07,25.9031,-80.302654,Miami-Fort Lauderdale-West Palm Beach,-0.005647438,-0.05046225,2007-07,2007-Q3,259600,-0.013210568,72352,33014,1945,FL,0.037894737,246500,33014, , , , ,r,,,,,1,,,,,1,,,,,2
29,0.054345017,0.16142789,Hialeah,Miami-Dade County,4/30/2019,2006-08,25.833202,-80.27872,Miami-Fort Lauderdale-West Palm Beach,-0.005629139,-0.065359477,2007-09,2007-Q3,321300,-0.006944444,72348,33010,2141,FL,0.0702067,300300,33010, , , , ,r,,,,,,,,,,,,,,,
30,0.042734174,0.043752705,Miami Beach,Miami-Dade County,4/30/2019,2016-06,25.819714,-80.133711,Miami-Fort Lauderdale-West Palm Beach,-0.017613756,-0.062437462,2017-05,2017-Q2,499700,-0.037196876,72443,33140,2389,FL,-0.026392352,468500,33140, , , , ,r,,21,12,,17,1,,1,1,15,,2,,2,72
31,0.042828217,0.062783447,Glenvar Heights,Miami-Dade County,4/30/2019,2006-05,25.703032,-80.297375,Miami-Fort Lauderdale-West Palm Beach,-0.00465018,-0.06007984,2007-01,2007-Q1,501000,0,72446,33143,2470,FL,0.025255824,470900,33143, , , , ,r,,,,,,,,,,,,,,,
32,0.05396808,0.173060816,Miami Gardens,Miami-Dade County,4/30/2019,2018-12,25.943117,-80.214686,Miami-Fort Lauderdale-West Palm Beach,-0.008735283,-0.012485812,2019-02,2019-Q1,264300,-0.009111617,72472,33169,2566,FL,0.079851055,261000,33169, , , , ,r,,,,,,,,,,,,,,,
33,0.071612184,0.177768926,North Miami Beach,Miami-Dade County,4/30/2019,2006-04,25.927997,-80.177175,Miami-Fort Lauderdale-West Palm Beach,-0.01153703,-0.081604426,2006-11,2006-Q4,289200,-0.019564415,72465,33162,2594,FL,0.067524116,265600,33162, , , , ,r,,,,,,,,,,,,,,,
34,0.066267056,0.169529249,Miami Gardens,Miami-Dade County,4/30/2019,2007-06,25.948468,-80.278855,Miami-Fort Lauderdale-West Palm Beach,-0.001077586,-0.008202568,2007-08,2007-Q3,280400,0.009071118,72387,33055,2956,FL,0.094451004,278100,33055, , , , ,r,7,456,139,,274,20,,11,4,603,1,19,41,24,1599
35,0.065085826,0.092308751,Miami,Miami-Dade County,4/30/2019,2018-05,25.853764,-80.178006,Miami-Fort Lauderdale-West Palm Beach,-0.018271711,-0.030155022,2019-02,2019-Q1,470900,-0.027884206,72441,33138,3033,FL,0.004398505,456700,33138, , , , ,r,,,,,,,,,,,,,,,
36,0.038302462,0.04078064,Pinecrest,Miami-Dade County,4/30/2019,2006-02,25.668203,-80.29701,Miami-Fort Lauderdale-West Palm Beach,-0.008602435,-0.077349427,2006-08,2006-Q3,811900,-0.003723899,72459,33156,3139,FL,0.01106762,749100,33156, , , , ,r,,,,,,,,,,,,,,,
37,0.050339094,0.104552513,Kendale Lakes,Miami-Dade County,4/30/2019,2006-05,25.702563,-80.404682,Miami-Fort Lauderdale-West Palm Beach,-0.002463054,-0.054474708,2007-01,2007-Q1,257000,0.004132231,72485,33183,3213,FL,0.06345733,243000,33183, , , , ,r,,,,,,,,,,,,,,,
38,0.044132355,0.092631866,Kendall,Miami-Dade County,4/30/2019,2006-06,25.70232,-80.357503,Miami-Fort Lauderdale-West Palm Beach,-0.004559704,-0.031873614,2007-01,2007-Q1,360800,0,72475,33173,3269,FL,0.043621153,349300,33173, , , , ,r,,,,,,,,,,,,,,,
39,0.056948548,0.104818909,Miami,Miami-Dade County,4/30/2019,2006-04,25.753132,-80.234427,Miami-Fort Lauderdale-West Palm Beach,-0.014194812,-0.085792102,2007-06,2007-Q2,440600,-0.017321298,72448,33145,3906,FL,0.02155719,402800,33145, , , , ,r,,1,2,,1,,,,,,,,,,4
40,0.067301884,0.192875628,Miami Gardens,Miami-Dade County,4/30/2019,2019-02,25.948877,-80.243582,Miami-Fort Lauderdale-West Palm Beach,-0.00312378,-0.00312378,2019-03,2019-Q1,256100,0.002749411,72388,33056,3911,FL,0.104238754,255300,33056, , , , ,r,,,,,,,,,,,,,,,
41,0.059437521,0.176029426,Homestead,Miami-Dade County,4/30/2019,2006-03,25.485147,-80.510882,Miami-Fort Lauderdale-West Palm Beach,-0.008779264,-0.090176516,2006-11,2006-Q4,260600,-0.003362757,72368,33030,4225,FL,0.111059044,237100,33030, , , , ,r,,5,1,,7,2,,,,15,,1,,,31
42,0.042130666,0.103000011,Fountainbleau,Miami-Dade County,4/30/2019,2006-06,25.761518,-80.364697,Miami-Fort Lauderdale-West Palm Beach,-0.001471129,-0.070841889,2007-02,2007-Q1,292200,0.006300964,72476,33174,4325,FL,0.081673307,271500,33174, , , , ,r,,,,,,,,,,,,,,,
43,0.055002933,0.118173188,Miami,Miami-Dade County,4/30/2019,2006-02,25.763458,-80.312667,Miami-Fort Lauderdale-West Palm Beach,-0.005081875,-0.093854461,2007-07,2007-Q3,388900,-0.004238485,72447,33144,4928,FL,0.030409357,352400,33144, , , , ,r,,,,,,,,,,,,,,,
44,0.044932605,0.100486618,Miami Springs,Miami-Dade County,4/30/2019,2006-04,25.827855,-80.316183,Miami-Fort Lauderdale-West Palm Beach,-0.005385488,-0.032266961,2006-08,2006-Q3,362600,-0.008757062,72469,33166,5026,FL,0.036938534,350900,33166, , , , ,r,,3,,,1,,,,1,2,,,,,7
45,0.053515791,0.056798079,Bal Harbour,Miami-Dade County,4/30/2019,2016-10,25.883337,-80.131831,Miami-Fort Lauderdale-West Palm Beach,-0.002464572,-0.035735557,2017-04,2017-Q2,671600,-0.007205274,72457,33154,5126,FL,0.003564234,647600,33154, , , , ,r,1,68,9,,54,3,,,,60,,4,2,7,208
46,0.06581449,0.124577285,Cutler Bay,Miami-Dade County,4/30/2019,2006-07,25.572213,-80.335434,Miami-Fort Lauderdale-West Palm Beach,-0.006442862,-0.021049115,2007-02,2007-Q1,299300,-0.000682128,72491,33189,5171,FL,0.070906433,293000,33189, , , , ,r,,2,,,,,,,,1,,,,,3
47,0.015277428,-0.01678638,Miami,Miami-Dade County,4/30/2019,2005-05,25.77789,-80.176165,Miami-Fort Lauderdale-West Palm Beach,0.000585309,-0.139874214,2007-04,2007-Q2,397500,-0.005526469,72435,33132,5361,FL,-0.028969043,341900,33132, , , , ,r,474,187,,480,20,,3,5,757,,47,45,32,2051,
48,0.039189591,0.075670402,North Miami,Miami-Dade County,4/30/2019,2005-07,25.897992,-80.152331,Miami-Fort Lauderdale-West Palm Beach,0.00828864,-0.233222099,2006-08,2006-Q3,269700,0.007797271,72483,33181,5561,FL,0.039718451,206800,33181, , , , ,r,,,,,,,,,,,,,,,
49,0.037322521,0.071349734,Kendall West,Miami-Dade County,4/30/2019,2006-04,25.726359,-80.450733,Miami-Fort Lauderdale-West Palm Beach,-0.004903226,-0.085605881,2007-07,2007-Q3,421700,-0.006953387,72487,33185,5611,FL,0.034334764,385600,33185, , , , ,r,,,,,,,,,,,,,,,
50,0.048281777,0.035532888,Miami,Miami-Dade County,4/30/2019,2016-03,25.750167,-80.190028,Miami-Fort Lauderdale-West Palm Beach,-0.005611915,-0.100019535,2016-11,2016-Q4,511900,-0.005611915,72432,33129,5838,FL,0.009642779,460700,33129, , , , ,r,,,,,,,,,,,,,,,
51,0.044003128,0.023888861,Key Biscayne,Miami-Dade County,4/30/2019,2016-01,25.719513,-80.168541,Miami-Fort Lauderdale-West Palm Beach,-0.0109017,-0.127536468,2017-09,2017-Q3,1227100,-0.034886866,72452,33149,6539,FL,-0.027876146,1070600,33149, , , , ,r,37,12,,32,,,,1,33,,,3,,118,
52,0.046074498,0.10521374,Tamiami,Miami-Dade County,4/30/2019,2006-05,25.759711,-80.406473,Miami-Fort Lauderdale-West Palm Beach,-0.005923836,-0.078933612,2007-04,2007-Q2,382600,-0.003393665,72486,33184,6802,FL,0.050059595,352400,33184, , , , ,r,,,,,,,,,,,,,,,
53,0.044957477,0.09320551,Richmond West,Miami-Dade County,4/30/2019,2006-03,25.595896,-80.506909,Miami-Fort Lauderdale-West Palm Beach,-0.005829359,-0.100455526,2007-07,2007-Q3,417100,-0.005829359,72489,33187,7463,FL,0.056009006,375200,33187, , , , ,r,,,,,,,,,,,,,,,
54,0.039523115,0.051071724,Coral Gables,Miami-Dade County,4/30/2019,2006-08,25.72085,-80.272571,Miami-Fort Lauderdale-West Palm Beach,-0.00591133,-0.035270371,2007-01,2007-Q1,941300,-0.009813543,72449,33146,7648,FL,0.011923334,908100,33146, , , , ,r,,,,,,,,,,,,,,,
55,0.050831461,0.090606496,Cutler Bay,Miami-Dade County,4/30/2019,2005-10,25.560027,-80.349887,Miami-Fort Lauderdale-West Palm Beach,-0.000788333,-0.143002028,2006-07,2006-Q3,295800,0.005154639,72492,33190,7828,FL,0.071881607,253500,33190, , , , ,r,,,,,,,,,,,,,,,
56,0.058232674,0.149173286,Goulds,Miami-Dade County,4/30/2019,2006-06,25.557912,-80.457897,Miami-Fort Lauderdale-West Palm Beach,-0.006495726,-0.078045685,2007-02,2007-Q1,315200,-0.00206044,72473,33170,8262,FL,0.088797302,290600,33170, , , , ,r,,,,,,,,,,,,,,,
57,0.035048419,0.068252623,Tamiami,Miami-Dade County,4/30/2019,2006-02,25.780654,-80.457553,Miami-Fort Lauderdale-West Palm Beach,-0.001106807,-0.09159537,2007-02,2007-Q1,397400,0,72484,33182,8788,FL,0.012906846,361000,33182, , , , ,r,,,,,,,,,,,,,,,
58,0.035520048,0.029105473,Village of Palmetto Bay,Miami-Dade County,4/30/2019,2005-09,25.63884,-80.311316,Miami-Fort Lauderdale-West Palm Beach,-0.011358541,-0.12384106,2006-09,2006-Q3,755000,-0.023183698,72461,33158,10911,FL,0.006696089,661500,33158, , , , ,r,,,,,,,,,,,,,,,
59,0.040421213,0.106077609,Homestead,Miami-Dade County,4/30/2019,2005-06,25.524982,-80.500875,Miami-Fort Lauderdale-West Palm Beach,-0.002172024,-0.23586161,2007-07,2007-Q3,601200,0.003933566,72369,33031,11109,FL,0.105123887,459400,33031, , , , ,r,,,,,,,,,,,,,,,
60,0.051835244,0.045515694,Fisher Island,Miami-Dade County,4/30/2019,2016-03,25.756717,-80.140066,Miami-Fort Lauderdale-West Palm Beach,-0.014839927,-0.073788977,2018-01,2018-Q1,3325700,-0.036864486,72418,33109,14950,FL,-0.038187722,3080300,33109, , , , ,r,,,,,,,,,,,,,,,
61, , , , , , ,25.825129,-80.230688, , , , , , , , , , , , , , ,"5536 NW 21ST AVENUE MIAMI, FL 33142", (305)633-0308,CISELY J. SCOTT,AGENORIA S. PASCHAL/OLINDA ES,e,,,,,,,,,,,,,,,100
62, , , , , , ,25.878578,-80.269061, , , , , , , , , , , , , , ,"5987 E 7 AVENUE HIALEAH, FL 33013", (305)688-9619,LISA K. WIGGINS,AMELIA EARHART ES,e,,,,,,,,,,,,,,,100
63, , , , , , ,25.901334,-80.182917, , , , , , , , , , , , , , ,"702 NE 137 STREET NORTH MIAMI, FL 33161", (305)892-4000,DR. MARIE A. BAZILE,ARCH CREEK ELEMENTARY SCHOOL,e,,,,,,,,,,,,,,,100
64, , , , , , ,25.848748,-80.214213, , , , , , , , , , , , , , ,"1037 NW 81ST STREET MIAMI, FL 33150", (305)836-2820,DR. CYNTHIA L. HANNAH,ARCOLA LAKE ES,e,,,,,,,,,,,,,,,100
65, , , , , , ,25.766686,-80.248073, , , , , , , , , , , , , , ,"3255 SW 6TH STREET MIAMI, FL 33135", (305)445-3587,ANIA MARTI,AUBURNDALE ES,e,,,,,,,,,,,,,,,100
66, , , , , , ,25.493707,-80.466208, , , , , , , , , , , , , , ,"16969 SW 294TH STREET MIAMI, FL 33030", (305)247-4942,JACQUA J. LITTLE,AVOCADO ES,e,,,,,,,,,,,,,,,100
67, , , , , , ,25.741073,-80.333176, , , , , , , , , , , , , , ,"3060 SW 85 AVENUE MIAMI, FL 33155", (305)221-4011,CHERI A. DAVIS,BANYAN ES,e,,,,,,,,,,,,,,,100
68, , , , , , ,25.946228,-80.261657, , , , , , , , , , , , , , ,"19010 NW 37TH AVENUE MIAMI GARDENS, FL 33056", (305)624-2615,RHONDA Y. WILLIAMS,BARBARA HAWKINS ES,e,,,,,,,,,,,,,,,100
69, , , , , , ,25.587428,-80.355941, , , , , , , , , , , , , , ,"10205 SW 194TH STREET CUTLER BAY, FL 33157", (305)233-5401,PRUDENCE M. HILL,BEL-AIRE ES,e,,,,,,,,,,,,,,,100
70, , , , , , ,25.874396,-80.331227, , , , , , , , , , , , , , ,"5700 W 24 AVENUE HIALEAH, FL 33016", (305)556-2204,DR. EDUARDO J. TAGLE,BEN SHEPPARD ES,e,,,,,,,,,,,,,,,100
71, , , , , , ,25.721384,-80.421028, , , , , , , , , , , , , , ,"4861 SW 140TH AVENUE MIAMI, FL 33175", (305)221-0461,EMILY D. FALCON,BENT TREE ES,e,,,,,,,,,,,,,,,100
72, , , , , , ,25.862013,-80.126702, , , , , , , , , , , , , , ,"800 77TH STREET MIAMI BEACH, FL 33141", (305)868-7727,KAREN D. VILLALBA-BELUSIC,BISCAYNE ES,e,,,,,,,,,,,,,,,100
73, , , , , , ,25.913144,-80.208732, , , , , , , , , , , , , , ,"560 NW 151ST STREET MIAMI, FL 33169", (305)681-5721,DEBORAH G. RIERA,BISCAYNE GARDENS ES,e,,,,,,,,,,,,,,,100
74, , , , , , ,25.71952,-80.344269, , , , , , , , , , , , , , ,"9250 SW 52ND TERRACE MIAMI, FL 33165", (305)271-7411,ADRIAN M. SANCHEZ,BLUE LAKES ELEMENTARY,e,,,,,,,,,,,,,,,100
75, , , , , , ,25.947932,-80.252656, , , , , , , , , , , , , , ,"3101 NW 191 STREET MIAMI GARDENS, FL 33056", (305)624-2657,TAMIKA R. ROBINSON,BRENTWOOD ES,e,,,,,,,,,,,,,,,100
76, , , , , , ,25.849382,-80.253107, , , , , , , , , , , , , , ,"3401 NW 83RD STREET MIAMI, FL 33147", (305)691-0861,DR. OMAR RIAZ,BROADMOOR ES,e,,,,,,,,,,,,,,,100
77, , , , , , ,25.920577,-80.239712, , , , , , , , , , , , , , ,"16001 BUNCHE PARK DRIVE MIAMI GARDENS, FL 33054", (305)621-1469,JACQUELINE N. LEWIS,BUNCHE PARK ES,e,,,,,,,,,,,,,,,100
78, , , , , , ,25.678895,-80.410452, , , , , , , , , , , , , , ,"9580 WEST CALUSA CLUB DRIVE MIAMI, FL 33186", (305)385-0589,SUZET M. HERNANDEZ,CALUSA ES,e,,,,,,,,,,,,,,,100
79, , , , , , ,25.932504,-80.270761, , , , , , , , , , , , , , ,"4375 NW 173RD DRIVE MIAMI GARDENS, FL 33055", (305)621-0509,DR. THALYA WATKINS,CAROL CITY ES,e,,,,,,,,,,,,,,,100
80, , , , , , ,25.789939,-80.194686, , , , , , , , , , , , , , ,"1550 NORTH MIAMI AVENUE MIAMI, FL 33136", (305)329-3057,AMY O. CHRISTOPOULOS,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER NORTH,e,,,,,,,,,,,,,,,100
81, , , , , , ,25.51846,-80.393117, , , , , , , , , , , , , , ,"28205 SW 124 COURT HOMESTEAD, FL 33033", (305)416-7189,AMY O. CHRISTOPOULOS,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH,e,,,,,,,,,,,,,,,100
82, , , , , , ,25.94914,-80.28766, , , , , , , , , , , , , , ,"5241 NW 195 DRIVE MIAMI, FL 33055", (305)628-5776,DR. BARBARA L. JOHNSON,"CHARLES DAVID WYCHE, JR. ES",e,,,,,,,,,,,,,,,100
83, , , , , , ,25.776663,-80.332926, , , , , , , , , , , , , , ,"8400 NW 7 STREET MIAMI, FL 33126", (305)261-3719,REANDRA T. JORDAN,CHARLES R. HADLEY  ES,e,,,,,,,,,,,,,,,100
84, , , , , , ,25.673799,-80.459003, , , , , , , , , , , , , , ,"16251 SW 99 STREET MIAMI, FL 33196", (305)383-9392,LIDIA M. GONZALEZ,CHRISTINA M. EVE ES,e,,,,,,,,,,,,,,,100
85, , , , , , ,25.777977,-80.230018, , , , , , , , , , , , , , ,"2121 NW 5TH STREET MIAMI, FL 33125", (305)642-4141,JENNIFER D. SAVIGNE,CITRUS GROVE ES,e,,,,,,,,,,,,,,,100
86, , , , , , ,25.677091,-80.429525, , , , , , , , , , , , , , ,"14550 SW 96TH STREET MIAMI, FL 33186", (305)386-5244,DR. ANNETTE M. DIAZ,CLAUDE PEPPER ES,e,,,,,,,,,,,,,,,100
87, , , , , , ,25.729096,-80.243527, , , , , , , , , , , , , , ,"3351 MATILDA STREET MIAMI, FL 33133", (305)445-7876,JULISSA PINA,COCONUT GROVE ES,e,,,,,,,,,,,,,,,100
88, , , , , , ,25.620577,-80.366985, , , , , , , , , , , , , , ,"10755 SW 160TH STREET MIAMI, FL 33157", (305)238-2392,LAURA F. TENNANT,COLONIAL DRIVE ES,e,,,,,,,,,,,,,,,100
89, , , , , , ,25.799533,-80.225545, , , , , , , , , , , , , , ,"2420 NW 18TH AVENUE MIAMI, FL 33142", (305)635-7341,DR. ORNA L. CAMPBELL DUMEUS,COMSTOCK ES,e,,,,,,,,,,,,,,,100
90, , , , , , ,25.757394,-80.352082, , , , , , , , , , , , , , ,"1225 SW 97TH AVENUE MIAMI, FL 33174", (305)221-5632,DR. AILEEN VEGA,CORAL PARK ES,e,,,,,,,,,,,,,,,100
91, , , , , , ,25.629394,-80.322485, , , , , , , , , , , , , , ,"7955 SW 152 STREET PALMETTO BAY, FL 33157", (305)235-1464,CHRISTINA L. GUERRA,CORAL REEF ES,e,,,,,,,,,,,,,,,100
92, , , , , , ,25.748079,-80.305694, , , , , , , , , , , , , , ,"6801 SW 24TH STREET MIAMI, FL 33155", (305)262-8300,EVA N. RAVELO,CORAL TERRACE ES,e,,,,,,,,,,,,,,,100
