,Rec_Nbr,Unnamed: 0,address,lat_dir,latitude,lng_dir,longitude,phone,principal,school,type
19,19,19.0,"1550 NORTH MIAMI AVENUE MIAMI, FL 33136",25.789939N,25.789939,80.194686W,-80.194686, (305)329-3057,AMY O. CHRISTOPOULOS,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER NORTH,e
20,20,20.0,"28205 SW 124 COURT HOMESTEAD, FL 33033",25.51846N,25.51846,80.393117W,-80.393117, (305)416-7189,AMY O. CHRISTOPOULOS,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH,e
21,21,21.0,"5241 NW 195 DRIVE MIAMI, FL 33055",25.94914N,25.94914,80.28766W,-80.28766, (305)628-5776,DR. BARBARA L. JOHNSON,"CHARLES DAVID WYCHE, JR. ES",e
22,22,22.0,"8400 NW 7 STREET MIAMI, FL 33126",25.776663N,25.776663,80.332926W,-80.332926, (305)261-3719,REANDRA T. JORDAN,CHARLES R. HADLEY  ES,e
23,23,23.0,"16251 SW 99 STREET MIAMI, FL 33196",25.673799N,25.673799,80.459003W,-80.45900300000001, (305)383-9392,LIDIA M. GONZALEZ,CHRISTINA M. EVE ES,e
24,24,24.0,"2121 NW 5TH STREET MIAMI, FL 33125",25.777977N,25.777977,80.230018W,-80.230018, (305)642-4141,JENNIFER D. SAVIGNE,CITRUS GROVE ES,e
25,25,25.0,"14550 SW 96TH STREET MIAMI, FL 33186",25.677091N,25.677091,80.429525W,-80.429525, (305)386-5244,DR. ANNETTE M. DIAZ,CLAUDE PEPPER ES,e
26,26,26.0,"3351 MATILDA STREET MIAMI, FL 33133",25.729096N,25.729096,80.243527W,-80.243527, (305)445-7876,JULISSA PINA,COCONUT GROVE ES,e
27,27,27.0,"10755 SW 160TH STREET MIAMI, FL 33157",25.620577N,25.620576999999997,80.366985W,-80.366985, (305)238-2392,LAURA F. TENNANT,COLONIAL DRIVE ES,e
28,28,28.0,"2420 NW 18TH AVENUE MIAMI, FL 33142",25.799533N,25.799533,80.225545W,-80.225545, (305)635-7341,DR. ORNA L. CAMPBELL DUMEUS,COMSTOCK ES,e
29,29,29.0,"1225 SW 97TH AVENUE MIAMI, FL 33174",25.757394N,25.757394,80.352082W,-80.352082, (305)221-5632,DR. AILEEN VEGA,CORAL PARK ES,e
30,30,30.0,"7955 SW 152 STREET PALMETTO BAY, FL 33157",25.629394N,25.629394,80.322485W,-80.322485, (305)235-1464,CHRISTINA L. GUERRA,CORAL REEF ES,e
31,31,31.0,"6801 SW 24TH STREET MIAMI, FL 33155",25.748079N,25.748079,80.305694W,-80.30569399999999, (305)262-8300,EVA N. RAVELO,CORAL TERRACE ES,e
32,32,32.0,"2201 NW 187TH STREET MIAMI GARDENS, FL 33056",25.944844N,25.944844,80.23855W,-80.23855, (305)624-1495,MARIA V. KERR,CRESTVIEW ES,e
33,33,33.0,"20210 CORAL SEA ROAD CUTLER BAY, FL 33189",25.579977N,25.579977,80.353478W,-80.35347800000001, (305)235-4611,ADRIENNE L. WRIGHT-MULLINGS,CUTLER RIDGE ES,e
34,34,34.0,"15625 SW 80 STREET MIAMI, FL 33193",25.692537N,25.692536999999998,80.445241W,-80.44524100000001, (305)380-1901,MARGARET D. LEITNER,DANTE B. FASCELL ES,e
35,35,35.0,"5757 SW 45TH STREET MIAMI, FL 33155",25.729354N,25.729354,80.287561W,-80.287561, (305)665-5483,LUCY AMENGUAL,DAVID FAIRCHILD ES,e
36,36,36.0,"851 SW 117TH AVENUE MIAMI, FL 33184",25.758986N,25.758986,80.382805W,-80.382805, (305)552-7122,MARIE H. ORTH-SANCHEZ,DR. CARLOS J. FINLAY ES,e
37,37,37.0,"21545 SW 87 AVENUE CUTLER BAY, FL 33189",25.565404N,25.565404,80.331489W,-80.331489, (305)234-4840,KATHRYN B. GUERRA,DR. EDWARD L. WHIGHAM ES,e
38,38,38.0,"4555 NW 206TH TERRACE MIAMI GARDENS, FL 33055",25.961225N,25.961225,80.277489W,-80.277489, (305)621-5838,DR. LINDA C. WHYE,DR. FREDERICA S. WILSON / SKYWAY ES,e
39,39,39.0,"15851 SW 112 STREET MIAMI, FL 33196",25.664338N,25.664338,80.452585W,-80.452585, (305)382-0792,RAUL J. GUTIERREZ,DR. GILBERT L. PORTER ES,e
40,40,40.0,"8851 SW 168TH STREET PALMETTO BAY, FL 33157",25.614293N,25.614293,80.335843W,-80.33584300000001, (305)235-2442,CARLA D. RIVAS,DR. HENRY E. PERRINE ACADEMY OF THE ARTS,e
41,41,41.0,"5125 SW 162 AVENUE MIAMI, FL 33185",25.71775N,25.71775,80.455365W,-80.455365, (305)229-4800,MARITZA CORREA,DR. MANUEL C. BARREIRO ES,e
42,42,42.0,"600 AHMAD STREET OPA-LOCKA, FL 33054",25.904428N,25.904428,80.247486W,-80.247486, (305)688-4605,DR. CYNTHIA CLAY,DR. ROBERT B. INGRAM ELEMENTARY SCHOOL,e
43,43,43.0,"27190 SW 140TH AVENUE MIAMI, FL 33032",25.51402N,25.514020000000002,80.416853W,-80.416853, (305)245-1055,CARZELL J. MORRIS,DR. WILLIAM A. CHAPMAN ES,e
44,44,44.0,"330 NW 97TH AVENUE MIAMI, FL 33172",25.769892N,25.769892000000002,80.35331W,-80.35331, (305)226-7001,NAOMI P. SIMON,E.W.F. STIRRUP ES,e
45,45,45.0,"4750 NW 22ND AVENUE MIAMI, FL 33142",25.818245N,25.818245,80.232512W,-80.232512, (305)635-7505,JACKSON J. NICOLAS,EARLINGTON HEIGHTS ES,e
46,46,46.0,"8001 SW 36TH STREET MIAMI, FL 33155",25.73691N,25.73691,80.325482W,-80.325482, (305)264-5757,LEONARDO MOURINO,EMERSON ES,e
47,47,47.0,"401 NW 29 STREET MIAMI, FL 33127",25.803773N,25.803773,80.201753W,-80.201753, (305)573-8181,TANGELA D. GOA,ENEIDA MASSAS HARTNER ES,e
48,48,48.0,"4702 SW 143RD COURT MIAMI, FL 33175",25.722366N,25.722366,80.425562W,-80.425562, (305)222-8161,CECILIA C. SANCHEZ,ETHEL KOGER BECKHAM K-8 CENTER,e
49,49,49.0,"444 SW 60TH AVENUE MIAMI, FL 33144",25.766519N,25.766519,80.293337W,-80.293337, (305)261-8880,HEATHER D. TYLER,FAIRLAWN ES,e
50,50,50.0,"920 SW 76TH AVENUE MIAMI, FL 33144",25.760567N,25.760567,80.318219W,-80.318219, (305)261-2031,MARIA C. MASON,FLAGAMI ES,e
51,51,51.0,"701 EAST 33 STREET HIALEAH, FL 33013",25.852575N,25.852575,80.268555W,-80.268555, (305)691-5531,ILEANA R. SOTOLONGO,FLAMINGO ES,e
52,52,52.0,"364 NW 6TH AVENUE FLORIDA CITY, FL 33034",25.452315N,25.452315,80.485331W,-80.485331, (305)247-4676,RACHELLE A. SURRANCY,FLORIDA CITY ES,e
53,53,53.0,"3500 DOUGLAS ROAD MIAMI, FL 33133",25.726294N,25.726294,80.253534W,-80.253534, (305)567-3533,DR. FREDRELETTE B. PICKETT,FRANCES S. TUCKER ES,e
54,54,54.0,"314 NW 12TH STREET MIAMI, FL 33136",25.785857N,25.785857,80.200704W,-80.200704, (305)371-4687,YOLANDA L. ELLIS,FREDERICK DOUGLASS ES,e
55,55,55.0,"16140 NE 18TH AVENUE NORTH MIAMI BEACH, FL 33162",25.92371N,25.92371,80.163941W,-80.16394100000001, (305)949-3425,DR. JEAN E. GORDON,FULFORD ES,e
56,56,56.0,"238 GRAND AVENUE CORAL GABLES, FL 33133",25.727471N,25.727470999999998,80.257869W,-80.257869, (305)443-5286,PATRICIA D. FAIRCLOUGH,GEORGE WASHINGTON CARVER ES,e
57,57,57.0,"17101 NE 7 AVENUE MIAMI, FL 33162",25.93346N,25.93346,80.186439W,-80.18643900000001, (305)651-2411,ALICIA M. COSTA-DEVITO,GERTRUDE K. EDELMAN/SABAL PALM ES,e
58,58,58.0,"12650 SW 109TH AVENUE MIAMI, FL 33176",25.65117N,25.65117,80.371231W,-80.37123100000001, (305)255-3934,MAYTE M. DOVALE,GLORIA FLOYD ES,e
59,59,59.0,"16520 NW 28TH AVENUE MIAMI GARDENS, FL 33054",25.925276N,25.925276,80.246693W,-80.24669300000001, (305)624-9641,ANDRIJA A. HARRISON,GOLDEN GLADES ES,e
60,60,60.0,"23555 SW 112TH AVENUE MIAMI, FL 33032",25.548673N,25.548673,80.372081W,-80.37208100000001, (305)257-4400,ALONZA PENDERGRASS III,GOULDS ELEMENTARY SCHOOL,e
61,61,61.0,"11905 N MIAMI AVENUE MIAMI, FL 33168",25.885236N,25.885236,80.198465W,-80.198465, (305)681-6685,BISLEIXIS TEJEIRO,GRATIGNY ES,e
62,62,62.0,"3060 SW 127TH AVENUE MIAMI, FL 33175",25.739452N,25.739452,80.399972W,-80.39997199999999, (305)223-5330,DR. MARIA V. TERCILLA,GREENGLADE ES,e
63,63,63.0,"1536 NE 179 STREET NORTH MIAMI BEACH, FL 33162",25.940343N,25.940343,80.169648W,-80.169648, (305)949-2129,JANINE A. TOWNSLEY,GREYNOLDS PARK ES,e
64,64,64.0,"20900 SW 97TH AVENUE CUTLER BAY, FL 33189",25.573118N,25.573118,80.34802W,-80.34801999999999, (305)235-6811,MARYBEL R. BALDESSARI,GULFSTREAM ES,e
65,65,65.0,"5222 NW 1ST STREET MIAMI, FL 33126",25.77229N,25.772289999999998,80.280848W,-80.28084799999999, (305)443-2529,ZULEMA C. LAMAZARES,HENRY M. FLAGLER ES,e
66,66,66.0,"2005 NW 111TH STREET MIAMI, FL 33167",25.875705N,25.875705,80.231575W,-80.231575, (305)953-7243,JULIAN E. GIBBS,HENRY REEVES K - 8 CENTER,e
67,67,67.0,"5300 CARILLO STREET CORAL GABLES, FL 33146",25.719437N,25.719437,80.27224W,-80.27224, (305)661-7661,BARBARA R. SOTO PUJADAS,HENRY S. WEST LABORATORY SCHOOL,e
68,68,68.0,"550 EAST 8TH STREET HIALEAH, FL 33010",25.82943N,25.82943,80.270389W,-80.270389, (305)888-6709,ROSA B. IGLESIAS,HIALEAH ES,e
69,69,69.0,"9702 NW 130 STREET HIALEAH GARDENS, FL 33018",25.891485N,25.891485,80.356925W,-80.356925, (305)827-8830,RACHEL B. AUTLER,HIALEAH GARDENS ES,e
70,70,70.0,"18701 NW 1ST AVENUE MIAMI GARDENS, FL 33169",25.946402N,25.946402,80.20327W,-80.20326999999999, (305)652-3018,VERONICA BELLO,HIBISCUS ES,e
71,71,71.0,"1175 NW 67 STREET MIAMI, FL 33150",25.835736N,25.835735999999997,80.216219W,-80.216219, (305)836-3421,DR. OTTOLITA T. THOMPSON,HOLMES ES,e
72,72,72.0,"7750 SW 136TH STREET PALMETTO BAY, FL 33156",25.644166N,25.644166000000002,80.322109W,-80.322109, (305)235-1412,DEANNA D. DALBY,HOWARD DRIVE ES,e
73,73,73.0,"14600 COUNTRY WALK DRIVE MIAMI, FL 33186",25.630344N,25.630344,80.429296W,-80.429296, (305)234-4805,MAILEEN A. FERRER,JACK D. GORDON ES,e
74,74,74.0,"2530 WEST 10TH AVENUE HIALEAH, FL 33010",25.844838N,25.844838,80.30223W,-80.30223000000001, (305)885-1683,CLAUDINE WINSOR,JAMES H. BRIGHT/J.W. JOHNSON ELEMENTARY,e
75,75,75.0,"514 NW 77TH STREET MIAMI, FL 33150",25.845316N,25.845316,80.205518W,-80.20551800000001, (305)754-7531,TRELLANY M. PARRISH-GAY,"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL",e
76,76,76.0,"1901 SW 134TH AVENUE MIAMI, FL 33175",25.749281N,25.749281,80.412978W,-80.41297800000001, (305)223-9823,CATHAY S. ABREU,JOE HALL ES,e
77,77,77.0,"6350 NW 188TH TERRACE MIAMI, FL 33015",25.944752N,25.944751999999998,80.303099W,-80.303099, (305)625-2008,LIZETTE G. O HALLORAN,JOELLA C. GOOD ES,e
78,78,78.0,"1150 WEST 59TH PLACE HIALEAH, FL 33012",25.876325N,25.876325,80.306469W,-80.30646899999999, (305)821-6361,LOURDES M. NUNEZ,JOHN G. DUPUIS ES,e
79,79,79.0,"2000 NW 46TH STREET MIAMI, FL 33142",25.816881N,25.816881,80.229734W,-80.229734, (305)633-0429,TEANDRA E. CALIXTE,KELSEY L. PHARR ES,e
80,80,80.0,"10693 SW 93RD STREET MIAMI, FL 33176",25.682676N,25.682676,80.366174W,-80.366174, (305)274-2735,ARYAM A. ALVAREZ-GARCIA,KENDALE ES,e
81,81,81.0,"8000 SW 142ND AVENUE MIAMI, FL 33183",25.692494N,25.692494,80.42479W,-80.42479, (305)385-2575,MARTHA T. JAUREGUIZAR,KENDALE LAKES ES,e
82,82,82.0,"711 NW 30 AVENUE MIAMI, FL 33125",25.779999N,25.779999,80.243887W,-80.243887, (305)649-2811,SUSANA SUAREZ,KENSINGTON PARK ES,e
83,83,83.0,"4275 NW 1 STREET MIAMI, FL 33126",25.772516N,25.772516,80.265199W,-80.265199, (305)445-1351,KISA D. HUMPHREY,KINLOCH PARK ES,e
84,84,84.0,"5101 NW 183 STREET MIAMI, FL 33055",25.939753N,25.939753,80.283578W,-80.283578, (305)625-6536,MARC W. SCHWAM,LAKE STEVENS ES,e
85,85,85.0,"1290 NW 115TH STREET MIAMI, FL 33167",25.879723N,25.879723000000002,80.219971W,-80.219971, (305)757-1535,SANDRA V. BANKY,LAKEVIEW ES,e
86,86,86.0,"505 SW 8 STREET HOMESTEAD, FL 33030",25.462467N,25.462467,80.483428W,-80.483428, (305)247-3933,BARBARA J. LEVEILLE-BROWN,LAURA C. SAUNDERS ES,e
87,87,87.0,"4700 NW 12 AVENUE MIAMI, FL 33127",25.818259N,25.818259,80.216011W,-80.216011, (305)635-0873,SHAWNTAI K. DALTON,LENORA BRAYNON SMITH ES,e
88,88,88.0,"1855 NW 71ST STREET MIAMI, FL 33147",25.83904N,25.83904,80.228151W,-80.228151, (305)691-8532,ADRIAN M. ROGERS,LIBERTY CITY ES,e
89,89,89.0,"5160 NW 31 AVENUE MIAMI, FL 33142",25.821094N,25.821094,80.246767W,-80.246767, (305)633-1424,ATUNYA R. WALKER,LORAH PARK ES,e
90,90,90.0,"6639 SW 74TH STREET SOUTH MIAMI, FL 33143",25.702046N,25.702046,80.300621W,-80.30062099999999, (305)667-5551,DR. GEORGETTE C. MENOCAL,LUDLAM ES,e
91,91,91.0,"650 WEST 33 STREET HIALEAH, FL 33012",25.851632N,25.851632000000002,80.295345W,-80.295345, (305)822-4600,MILKO O. BRITO,MAE M. WALTERS ES,e
92,92,92.0,"11901 SW 2 STREET MIAMI, FL 33184",25.766201N,25.766201000000002,80.38889W,-80.38889, (305)226-4356,MORAIMA ALMEIDA-PEREZ,MARJORY STONEMAN DOUGLAS ES,e
93,93,93.0,"1850 NW 32 STREET MIAMI, FL 33142",25.805766N,25.805766000000002,80.226788W,-80.226788, (305)636-3480,DR. DONNA M. LEWIS,MAYA ANGELOU ES,e
94,94,94.0,"4280 W 8TH AVENUE HIALEAH, FL 33012",25.861728N,25.861728,80.298665W,-80.298665, (305)822-0660,MARITZA M. GARCIA,MEADOWLANE ES,e
95,95,95.0,"3050 NW 35TH STREET MIAMI, FL 33142",25.808009N,25.808009,80.245229W,-80.24522900000001, (305)635-8676,SERGIO A. MUNOZ,MELROSE ES,e
96,96,96.0,"4444 NW 195TH STREET MIAMI GARDENS, FL 33055",25.950683N,25.950682999999998,80.275428W,-80.275428, (305)625-5321,KATHLEEN JOHN-LOUISSAINT,MIAMI GARDENS ES,e
97,97,97.0,"17661 SW 117TH AVENUE MIAMI, FL 33177",25.60411N,25.604110000000002,80.381398W,-80.381398, (305)238-3602,RENITA L. LEE,MIAMI HEIGHTS ES,e
98,98,98.0,"2225 NW 103RD STREET MIAMI, FL 33147",25.868356N,25.868356,80.235401W,-80.235401, (305)691-6361,DR. YVONNE D. PERRY,MIAMI PARK ES,e
99,99,99.0,"10351 NE 5TH AVENUE MIAMI SHORES, FL 33138",25.87093N,25.870929999999998,80.187649W,-80.187649, (305)758-5525,BRENDA L. SWAIN,MIAMI SHORES ES,e
100,100,100.0,"51 PARK STREET MIAMI SPRINGS, FL 33166",25.822828N,25.822828,80.284538W,-80.284538, (305)888-4558,KRISTIN E. HAYES,MIAMI SPRINGS ES,e
101,101,101.0,"1840 NW 157TH STREET MIAMI GARDENS, FL 33054",25.917175N,25.917175,80.230874W,-80.230874, (305)625-3885,DR. MARIA A. CASTAIGNE,N. DADE CTR. FOR MODERN LANG. ES,e
102,102,102.0,"14120 NW 24TH AVENUE OPA-LOCKA, FL 33054",25.903913N,25.903913,80.239669W,-80.23966899999999, (305)685-7204,DR. TONYA S. DILLARD,NATHAN B. YOUNG ES,e
103,103,103.0,"1650 NE 141ST STREET NORTH MIAMI, FL 33181",25.905754N,25.905754,80.164785W,-80.164785, (305)891-8649,FRANK V. MACBRIDE JR,NATURAL BRIDGE ES,e
104,104,104.0,"19340 NW 8TH COURT MIAMI GARDENS, FL 33169",25.952303N,25.952303,80.216081W,-80.216081, (305)652-6074,DR. CHRISTINA M. RAVELO,NORLAND ES,e
105,105,105.0,"15950 SW 144TH STREET MIAMI, FL 33196",25.632422N,25.632422000000002,80.45255W,-80.45255, (305)254-5200,CONCEPCION C. SANTANA,NORMA BUTLER BOSSARD ES,e
106,106,106.0,"4100 PRAIRIE AVENUE MIAMI BEACH, FL 33140",25.814394N,25.814394,80.130461W,-80.130461, (305)531-7666,MELANIE B. FISHMAN,NORTH BEACH ES,e
107,107,107.0,"5000 NW 177 STREET MIAMI, FL 33055",25.934122N,25.934122,80.283238W,-80.283238, (305)624-3608,ANN M. LEWIS,NORTH GLADE ES,e
108,108,108.0,"4251 EAST 5 AVENUE HIALEAH, FL 33013",25.861266N,25.861266,80.272669W,-80.272669, (305)681-4611,CARLOS A. SALCEDO,NORTH HIALEAH ES,e
109,109,109.0,"655 NE 145 STREET NORTH MIAMI, FL 33161",25.908565N,25.908565,80.185584W,-80.18558399999999, (305)949-6156,DEBRA L. DUBIN,NORTH MIAMI ES,e
110,110,110.0,"625 WEST 74TH PLACE HIALEAH, FL 33014",25.889959N,25.889959,80.296804W,-80.29680400000001, (305)822-0721,JOSE R. FERNANDEZ,NORTH TWIN LAKES ES,e
111,111,111.0,"19810 NW 14TH COURT MIAMI GARDENS, FL 33169",25.954859N,25.954859,80.226585W,-80.226585, (305)653-0068,DR. KEVIN N. WILLIAMS,NORWOOD ES,e
112,112,112.0,"15640 NE 8TH AVENUE MIAMI, FL 33162",25.918521N,25.918521,80.183761W,-80.183761, (305)945-1511,JOYCE R. JONES,OAK GROVE ES,e
113,113,113.0,"18600 WEST DIXIE HIGHWAY MIAMI, FL 33180",25.948583N,25.948583,80.148771W,-80.148771, (305)931-4881,DR. MARTA M. MEJIA,OJUS ES,e
114,114,114.0,"9050 HAMMOCKS BOULEVARD MIAMI, FL 33196",25.682505N,25.682505,80.436497W,-80.436497, (305)385-4382,MERCY AGUILAR,OLIVER HOOVER ES,e
115,115,115.0,"9797 SW 40TH STREET MIAMI, FL 33165",25.732724N,25.732723999999997,80.354094W,-80.35409399999999, (305)221-3821,VICTORIA E. BOURLAND,OLYMPIA HEIGHTS ES,e
116,116,116.0,"5720 NW 13TH AVENUE MIAMI, FL 33142",25.827777N,25.827776999999998,80.218465W,-80.21846500000001, (305)754-0607,TANYA S. DALY-BARNES,ORCHARD VILLA ES,e
117,117,117.0,"7450 WEST 16TH AVENUE HIALEAH, FL 33014",25.890413N,25.890413,80.315878W,-80.315878, (305)823-6970,ALINA Q. IGLESIAS,PALM LAKES ES,e
118,118,118.0,"6304 EAST 1 AVENUE HIALEAH, FL 33013",25.88063N,25.88063,80.281307W,-80.281307, (305)822-0911,ROXANA D. HERRERA,PALM SPRINGS ES,e
119,119,119.0,"17615 NW 82 AVENUE MIAMI, FL 33015",25.933881N,25.933881,80.334814W,-80.334814, (305)821-4631,MARIBEL B. DOTRES,PALM SPRINGS NORTH ES,e
120,120,120.0,"12401 SW 74 AVENUE PINECREST, FL 33156",25.653884N,25.653883999999998,80.314049W,-80.314049, (305)238-4306,ERIC TORRES,PALMETTO ES,e
121,121,121.0,"17631 NW 20TH AVENUE MIAMI GARDENS, FL 33056",25.935106N,25.935106,80.234982W,-80.23498199999999, (305)625-1591,DR. CRYSTAL SPENCE,PARKVIEW ES,e
122,122,122.0,"1320 NW 188TH STREET MIAMI GARDENS, FL 33169",25.946143N,25.946143,80.224418W,-80.224418, (305)653-0066,MARIA C. FERNANDEZ,PARKWAY ES,e
123,123,123.0,"1801 NW 1ST PLACE MIAMI, FL 33136",25.793541N,25.793541,80.198431W,-80.198431, (305)573-2638,CATHY M. WILLIAMS,PHILLIS WHEATLEY ES,e
124,124,124.0,"840 NE 87TH STREET MIAMI, FL 33138",25.855365N,25.855365,80.179806W,-80.179806, (305)756-3800,KIMBERLEY F. EMMANUEL,PHYLLIS RUTH MILLER ES,e
125,125,125.0,"16700 SW 109TH AVENUE MIAMI, FL 33157",25.614161N,25.614161,80.369661W,-80.369661, (305)233-7018,CRYSTAL C. COFFEY,PINE LAKE ES,e
126,126,126.0,"21799 SW 117TH COURT MIAMI, FL 33170",25.564371N,25.564370999999998,80.381439W,-80.381439, (305)258-5366,ELIANEYS BASULTO,PINE VILLA ES,e
127,127,127.0,"10250 SW 57TH AVENUE PINECREST, FL 33156",25.675899N,25.675898999999998,80.284403W,-80.284403, (305)667-5579,LYNN M. ZALDUA,PINECREST ES,e
128,128,128.0,"6745 NW 23RD AVENUE MIAMI, FL 33147",25.836154N,25.836154,80.235238W,-80.235238, (305)691-5640,TANIA L. JONES,POINCIANA PARK ES,e
129,129,129.0,"15355 NW 19TH AVENUE MIAMI GARDENS, FL 33054",25.914329N,25.914329000000002,80.232082W,-80.23208199999999, (305)688-4631,ROBIN T. ARMSTRONG,RAINBOW PARK ES,e
130,130,130.0,"24501 SW 162 AVENUE MIAMI, FL 33031",25.538678N,25.538678,80.453593W,-80.45359300000001, (305)247-8141,ADRIAN MONTES,REDLAND ES,e
131,131,131.0,"18480 SW 304 STREET HOMESTEAD, FL 33030",25.484359N,25.484359,80.494723W,-80.494723, (305)247-5943,KEITH A. ANDERSON,REDONDO ES,e
132,132,132.0,"1190 SW 2ND STREET MIAMI, FL 33130",25.771554N,25.771554000000002,80.214461W,-80.214461, (305)547-1520,DR. ERICA Y. PARAMORE-RESPRESS,RIVERSIDE ES,e
133,133,133.0,"18050 HOMESTEAD AVENUE MIAMI, FL 33157",25.601589N,25.601589,80.355308W,-80.355308, (305)235-3612,ERIC L. WRIGHT,ROBERT RUSSA MOTON ES,e
134,134,134.0,"2790 SW 93RD COURT MIAMI, FL 33165",25.743752N,25.743752,80.346069W,-80.346069, (305)221-1192,SYLVIA COTO-GONZALEZ,ROCKWAY ES,e
135,135,135.0,"13047 SW 47TH STREET MIAMI, FL 33175",25.722061N,25.722061,80.405594W,-80.405594, (305)221-4452,ALBA M. MISAS,ROYAL GREEN ES,e
136,136,136.0,"4200 SW 112TH COURT MIAMI, FL 33165",25.729952N,25.729951999999997,80.376388W,-80.376388, (305)221-7961,MARTA GARCIA,ROYAL PALM ES,e
137,137,137.0,"1051 NW 29TH TERRACE MIAMI, FL 33127",25.804261N,25.804261,80.212542W,-80.212542, (305)635-1417,STEPHEN E. PAPP,SANTA CLARA ES,e
138,138,138.0,"1160 NW 175TH STREET MIAMI GARDENS, FL 33169",25.934586N,25.934586,80.219751W,-80.219751, (305)624-1443,LAKESHA M. WILSON-ROCHELLE,SCOTT LAKE ES,e
139,139,139.0,"121 SW 78TH PLACE MIAMI, FL 33144",25.768947N,25.768947,80.323675W,-80.323675, (305)261-7071,MAYRA DELEON,SEMINOLE ES,e
140,140,140.0,"149 NW 49TH STREET MIAMI, FL 33127",25.820766N,25.820766,80.198799W,-80.198799, (305)758-3673,GWENDOLYN HAYNES,SHADOWLAWN ES,e
141,141,141.0,"1023 SW 21ST AVENUE MIAMI, FL 33135",25.762761N,25.762760999999998,80.228542W,-80.228542, (305)643-4433,MICHELLE L. COTO,SHENANDOAH ES,e
